name,total_citation,gen_citation,com_citation,copious_citation,self_citation,NGC,NGC(Archana),NCC,NCC(Archana),OC,OC(Archana),institute,domain,hindex,N-H-index(Archana),i10,N- i10(Archana)
A1930,951,895,5,28,17,0.0589,0.058885,1,0.994742,1,0.982124,Wesleyan University,Data Science,19,0.633333333,25,0.833333333
A1931,102,101,0,0,0,0.0098,0.009804,1,1,1,1,Massachusetts Institute of Technology ,Wireless and Sensor Systems,6,0.2,4,0.133333333
A1932,160,107,23,13,16,0.3312,0.33125,1,0.85625,1,0.9,University of Auckland,"Computer Graphics, Vision, Animation, and Game Science",11,0.366666667,11,0.366666667
A1933,148,87,32,12,9,0.4122,0.412162,1,0.783784,1,0.939189,University of Massachusetts Amhers ,Theory of Computation,11,0.366666667,11,0.366666667
A1934,751,609,36,39,21,0.1891,0.189081,1,0.952064,1,0.972037,University of Iowa,Computing for Development,16,0.533333333,23,0.766666667
A1935,842,21,403,310,64,1,0.975059,0.5214,0.521378,1,0.92399,University of New Brunswick,Computing for Development,21,0.7,24,0.8
A1936,451,347,60,32,3,0.2306,0.230599,1,0.866962,1,0.993348,Stanford University,Computational & Synthetic Biology,12,0.4,14,0.466666667
A1937,11,3,7,0,0,1,0.727273,0.3636,0.363636,0.9091,1,"University of California, Riverside",Artificial Intelligence,1,0.033333333,0,0
A1938,784,660,57,29,37,0.1582,0.158163,1,0.927296,1,0.952806,Vrije Universiteit Amsterdam ,Machine Learning,18,0.6,23,0.766666667
A1939,362,340,19,0,0,0.0608,0.060773,1,0.947514,1,1,"University of California, Berkeley  ",Molecular Information Systems,11,0.366666667,11,0.366666667
A194,780,777,2,0,0,0.0038,0.003846,1,0.997436,1,1,The George Washington University,Ubiquitous Computing,19,0.633333333,23,0.766666667
A1940,997,644,147,135,43,0.3541,0.354062,1,0.852558,1,0.956871,"University of California, San Diego",Theory of Computation,25,0.833333333,29,0.966666667
A1941,845,105,262,426,37,1,0.87574,0.6899,0.689941,1,0.956213,"University of California, San Diego",Systems and Networking,26,0.866666667,26,0.866666667
A1942,868,427,18,165,142,0.5081,0.508065,1,0.979263,0.8664,0.836406,University of New Brunswick,Data Science,28,0.933333333,28,0.933333333
A1943,311,292,2,6,9,0.0611,0.061093,1,0.993569,1,0.971061,"University of California, Berkeley  ",Computer Architecture,14,0.466666667,15,0.5
A1944,765,449,94,149,54,0.4131,0.413072,1,0.877124,1,0.929412,University of Toronto,Data Science,21,0.7,23,0.766666667
A1945,385,350,24,0,9,0.0909,0.090909,1,0.937662,1,0.976623,University Aix-Marseille,Data Management and Visualization,12,0.4,18,0.6
A1946,110,62,42,0,1,0.4364,0.436364,0.6182,0.618182,1,0.990909,Washington University in St. Louis,Data Management and Visualization,7,0.233333333,3,0.1
A1947,463,69,59,134,77,1,0.850972,1,0.87257,0.7322,0.833693,University of Auckland,Artificial Intelligence,11,0.366666667,17,0.566666667
A1948,728,141,445,6,91,1,0.806319,0.3887,0.388736,1,0.875,Stanford University,Computer Architecture,16,0.533333333,24,0.8
A1949,256,137,77,33,0,0.4648,0.464844,0.6992,0.699219,1,1,"University of California, Los Angeles",Data Science,13,0.433333333,14,0.466666667
A195,672,226,223,112,100,1,0.66369,0.6682,0.668155,1,0.85119,University of Georgia ,Wireless and Sensor Systems,14,0.466666667,18,0.6
A1950,159,85,54,7,2,0.4654,0.465409,0.6604,0.660377,1,0.987421,Oregon State University,Computer Architecture,10,0.333333333,3,0.1
A1951,599,106,409,52,10,1,0.823038,0.3172,0.317195,1,0.983306,Aarhus University,Human Computer Interaction,21,0.7,23,0.766666667
A1952,773,200,512,56,0,1,0.741268,0.3376,0.337646,1,1,University Aix-Marseille,Systems and Networking,19,0.633333333,21,0.7
A1953,596,420,5,16,81,0.2953,0.295302,1,0.991611,0.8758,0.864094,Tel Aviv University,Molecular Information Systems,13,0.433333333,20,0.666666667
A1954,66,5,35,15,2,1,0.924242,0.4697,0.469697,0.8636,0.969697,Massachusetts Institute of Technology,Security and Privacy,6,0.2,3,0.1
A1955,186,74,70,29,3,1,0.602151,0.6237,0.623656,1,0.983871,Stanford University,Machine Learning,7,0.233333333,5,0.166666667
A1956,458,4,294,61,32,1,0.991266,0.3581,0.358079,0.8537,0.930131,Massachusetts Institute of Technology,Human Computer Interaction,13,0.433333333,14,0.466666667
A1957,249,189,23,13,3,0.241,0.240964,1,0.907631,0.9157,0.987952,Tel Aviv University,Programming Languages and Software Engineering,10,0.333333333,6,0.2
A1958,510,154,26,161,92,1,0.698039,1,0.94902,0.849,0.819608,Northwestern University,Computer Architecture,16,0.533333333,21,0.7
A1959,550,197,331,12,6,1,0.641818,0.3982,0.398182,1,0.989091,Washington University in St. Louis,"Computer Graphics, Vision, Animation, and Game Science",20,0.666666667,21,0.7
A196,390,141,15,45,15,1,0.638462,1,0.961538,0.5538,0.961538,Boston University Graduate School,Data Science,15,0.5,16,0.533333333
A1960,40,15,20,0,1,1,0.625,0.5,0.5,0.9,0.975,University of Oxford,"Computer Graphics, Vision, Animation, and Game Science",5,0.166666667,3,0.1
A1961,134,116,3,1,12,0.1343,0.134328,1,0.977612,1,0.910448,The George Washington University,Machine Learning,7,0.233333333,4,0.133333333
A1962,401,288,68,25,1,0.2818,0.281796,1,0.830424,1,0.997506,The George Washington University,Data Management and Visualization,13,0.433333333,15,0.5
A1963,166,41,6,117,0,1,0.753012,1,0.963855,1,1,University of Notre Dame,Natural Language Processing,9,0.3,1,0.033333333
A1964,96,60,29,6,0,0.375,0.375,0.6979,0.697917,1,1,University of Rochester,Programming Languages and Software Engineering,7,0.233333333,5,0.166666667
A1965,360,29,55,214,29,1,0.919444,1,0.847222,0.9083,0.919444,"University of California, San Diego","Computer Graphics, Vision, Animation, and Game Science",9,0.3,8,0.266666667
A1966,222,118,87,11,4,0.4685,0.468468,0.6081,0.608108,1,0.981982,"University of California, San Diego",Machine Learning,10,0.333333333,2,0.066666667
A1967,953,748,2,116,17,0.2151,0.21511,1,0.997901,0.9265,0.982162,Stanford University,Artificial Intelligence,22,0.733333333,23,0.766666667
A1968,496,147,89,23,108,1,0.703629,1,0.820565,0.7399,0.782258,University of New Brunswick,Molecular Information Systems,21,0.7,21,0.7
A1969,450,269,126,3,18,0.4022,0.402222,0.72,0.72,0.9244,0.96,Stanford University,Artificial Intelligence,16,0.533333333,20,0.666666667
A197,913,203,172,135,117,1,0.777656,1,0.81161,0.6867,0.871851,Flinders University of South Australia,Human Computer Interaction,19,0.633333333,20,0.666666667
A1970,720,570,25,114,6,0.2083,0.208333,1,0.965278,1,0.991667,Pontificia Universidad Catlica de Chile,Wireless and Sensor Systems,14,0.466666667,20,0.666666667
A1971,130,83,12,29,3,0.3615,0.361538,1,0.907692,1,0.976923,Flinders University of South Australia,Systems and Networking,7,0.233333333,0,0
A1972,937,575,289,14,38,0.3863,0.386339,0.6916,0.691569,1,0.959445,The George Washington University,Data Management and Visualization,27,0.9,27,0.9
A1973,365,42,24,231,8,1,0.884932,1,0.934247,0.8356,0.978082,Cornell University,Computer Architecture,9,0.3,0,0
A1974,213,166,18,2,25,0.2207,0.220657,1,0.915493,1,0.882629,Oregon State University,Machine Learning,12,0.4,12,0.4
A1975,83,5,6,65,3,1,0.939759,1,0.927711,1,0.963855,Rijksuniversiteit Groningen,Programming Languages and Software Engineering,7,0.233333333,4,0.133333333
A1976,199,145,49,2,0,0.2714,0.271357,1,0.753769,1,1,University of Pittsburgh  ,Data Science,8,0.266666667,6,0.2
A1977,963,414,388,50,65,1,0.570093,0.5971,0.597092,1,0.932503,University Aix-Marseille,Machine Learning,27,0.9,30,1
A1978,722,713,1,5,0,0.0125,0.012465,1,0.998615,1,1," University of California, Berkeley",Human Computer Interaction,24,0.8,24,0.8
A1979,954,639,100,42,61,0.3302,0.330189,1,0.895178,0.8826,0.936059,Rijksuniversiteit Groningen,Computer Architecture,18,0.6,26,0.866666667
A198,25,14,6,2,1,0.44,0.44,0.76,0.76,0.92,0.96,Aarhus University,Human Computer Interaction,4,0.133333333,3,0.1
A1980,517,388,81,34,11,0.2495,0.249516,1,0.843327,1,0.978723,Washington University in St. Louis  ,Molecular Information Systems,16,0.533333333,17,0.566666667
A1981,527,319,9,169,19,0.3947,0.394687,1,0.982922,1,0.963947, The University of Chicago,Machine Learning,11,0.366666667,17,0.566666667
A1982,461,268,16,60,59,0.4187,0.418655,1,0.965293,0.8742,0.872017,University of Arizona,Data Management and Visualization,19,0.633333333,20,0.666666667
A1983,456,49,11,393,2,1,0.892544,1,0.975877,1,0.995614,Washington University in St. Louis,Ubiquitous Computing,19,0.633333333,19,0.633333333
A1984,688,242,254,145,37,1,0.648256,0.6308,0.630814,1,0.946221,Stanford University,Security and Privacy,18,0.6,21,0.7
A1985,878,251,417,113,49,1,0.714123,0.5251,0.525057,1,0.944191, The University of Chicago,"Computer Graphics, Vision, Animation, and Game Science",27,0.9,28,0.933333333
A1986,231,191,21,5,10,0.1732,0.17316,1,0.909091,1,0.95671, The University of Chicago,Systems and Networking,14,0.466666667,14,0.466666667
A1987,217,30,21,135,26,1,0.861751,1,0.903226,1,0.880184,University of Auckland,Wireless and Sensor Systems,13,0.433333333,13,0.433333333
A1988,458,407,7,37,5,0.1114,0.111354,1,0.984716,1,0.989083,Pontificia Universidad Catlica de Chile,Ubiquitous Computing,18,0.6,20,0.666666667
A1989,392,240,101,2,23,0.3878,0.387755,0.7423,0.742347,1,0.941327,University of Washington,Natural Language Processing,15,0.5,15,0.5
A199,135,9,116,7,2,1,0.933333,0.1407,0.140741,1,0.985185,University Aix-Marseille,Ubiquitous Computing,7,0.233333333,2,0.066666667
A1990,862,730,3,69,29,0.1531,0.153132,1,0.99652,1,0.966357,Flinders University of South Australia,Computing for Development,28,0.933333333,28,0.933333333
A1991,493,343,137,9,3,0.3043,0.30426,0.7221,0.72211,1,0.993915,Boston University Graduate School,Artificial Intelligence,14,0.466666667,19,0.633333333
A1992,862,268,307,266,12,1,0.689095,0.6439,0.643852,1,0.986079,University of Toronto,Machine Learning,22,0.733333333,22,0.733333333
A1993,318,307,7,2,0,0.0346,0.034591,1,0.977987,1,1," University of California, Berkeley","Computer Graphics, Vision, Animation, and Game Science",8,0.266666667,6,0.2
A1994,37,35,1,0,0,0.0541,0.054054,1,0.972973,1,1,University of Oxford,Theory of Computation,4,0.133333333,1,0.033333333
A1995,57,10,31,5,5,1,0.824561,0.4561,0.45614,0.8947,0.912281,Tel Aviv University,Systems and Networking,3,0.1,2,0.066666667
A1996,842,438,318,29,34,0.4798,0.47981,0.6223,0.622328,1,0.95962,Cornell University,Machine Learning,19,0.633333333,22,0.733333333
A1997,611,308,83,26,149,0.4959,0.495908,1,0.864157,1,0.756137,University of Iowa,Computer Architecture,17,0.566666667,17,0.566666667
A1998,721,469,39,27,14,0.3495,0.349515,1,0.945908,0.7614,0.980583,Flinders University of South Australia,Theory of Computation,14,0.466666667,15,0.5
A1999,780,699,15,24,3,0.1038,0.103846,1,0.980769,1,0.996154,Washington University in St. Louis,Programming Languages and Software Engineering,26,0.866666667,26,0.866666667
A2,605,438,37,87,30,0.276,0.276033,1,0.938843,1,0.950413,Tel Aviv University,"Computer Graphics, Vision, Animation, and Game Science",18,0.6,21,0.7
A20,716,338,100,93,83,1,0.527933,1,0.860335,0.8575,0.884078,"University of California, San Diego",Human Computer Interaction,25,0.833333333,25,0.833333333
A200,102,86,2,9,1,0.1569,0.156863,1,0.980392,1,0.990196,Vrije Universiteit Amsterdam ,Machine Learning,5,0.166666667,4,0.133333333
A2000,379,240,116,20,1,0.3668,0.366755,0.6939,0.693931,1,0.997361,Indiana University,Computer Architecture,9,0.3,0,0
A2001,385,80,11,142,129,1,0.792208,1,0.971429,1,0.664935,Wesleyan University,Computing for Development,13,0.433333333,14,0.466666667
A2002,298,250,22,0,11,0.1611,0.161074,1,0.926174,1,0.963087,Northwestern University,Molecular Information Systems,16,0.533333333,16,0.533333333
A2003,510,278,77,63,89,0.4549,0.454902,1,0.84902,1,0.82549,Massachusetts Institute of Technology ,Theory of Computation,21,0.7,21,0.7
A2004,175,116,2,52,4,0.3371,0.337143,1,0.988571,1,0.977143,"University of California, Berkeley  ",Computational & Synthetic Biology,9,0.3,8,0.266666667
A2005,993,469,9,114,142,1,0.527694,1,0.990937,0.7392,0.856999,University Aix-Marseille,Ubiquitous Computing,20,0.666666667,28,0.933333333
A2006,740,397,320,8,3,0.4635,0.463514,0.5676,0.567568,1,0.995946,"University of California, Irvine ",Human Computer Interaction,18,0.6,24,0.8
A2007,686,458,142,77,7,0.3324,0.332362,1,0.793003,1,0.989796,Oregon State University,Programming Languages and Software Engineering,22,0.733333333,23,0.766666667
A2008,755,459,50,39,44,0.3921,0.392053,1,0.933775,0.7841,0.941722,University of Washington,Molecular Information Systems,26,0.866666667,26,0.866666667
A2009,543,416,27,11,37,0.2339,0.233886,1,0.950276,0.9042,0.93186,Wesleyan University,Natural Language Processing,19,0.633333333,20,0.666666667
A201,904,11,812,0,42,1,0.987832,0.1018,0.10177,1,0.95354,"University of California, San Diego",Ubiquitous Computing,27,0.9,27,0.9
A2010,16,10,5,0,0,0.375,0.375,0.6875,0.6875,1,1,Northwestern University,Data Science,3,0.1,0,0
A2011,845,269,421,132,4,1,0.681657,0.5018,0.501775,1,0.995266,Massachusetts Institute of Technology,Human Computer Interaction,15,0.5,26,0.866666667
A2012,378,7,271,89,1,1,0.981481,0.2831,0.283069,1,0.997354,The George Washington University,Computing for Development,9,0.3,8,0.266666667
A2013,495,105,356,19,8,1,0.787879,0.2808,0.280808,1,0.983838,University of Pittsburgh  ,Programming Languages and Software Engineering,16,0.533333333,17,0.566666667
A2014,262,125,106,23,1,1,0.522901,0.5954,0.59542,1,0.996183,Massachusetts Institute of Technology,Computer Architecture,10,0.333333333,5,0.166666667
A2015,133,70,41,0,1,0.4737,0.473684,0.6917,0.691729,0.8421,0.992481,Aarhus University,Computer Architecture,7,0.233333333,4,0.133333333
A2016,724,213,449,36,21,1,0.705801,0.3798,0.379834,1,0.970994,The University of Chicago,Computational & Synthetic Biology,20,0.666666667,23,0.766666667
A2017,554,152,312,74,15,1,0.725632,0.4368,0.436823,1,0.972924,"University of California, Irvine ",Molecular Information Systems,14,0.466666667,22,0.733333333
A2018,929,464,352,45,37,1,0.500538,0.6211,0.621098,1,0.960172,The University of Chicago,Systems and Networking,21,0.7,22,0.733333333
A2019,505,62,173,199,62,1,0.877228,0.6574,0.657426,1,0.877228,University of Washington,Artificial Intelligence,16,0.533333333,17,0.566666667
A202,417,320,66,15,5,0.2326,0.232614,1,0.841727,1,0.98801,The George Washington University,Computing for Development,19,0.633333333,19,0.633333333
A2020,65,33,7,13,10,0.4923,0.492308,1,0.892308,1,0.846154,"University of California, San Diego",Systems and Networking,4,0.133333333,3,0.1
A2021,354,241,3,38,47,0.3192,0.319209,1,0.991525,1,0.867232,"University of California, Berkeley  ",Data Science,13,0.433333333,15,0.5
A2022,427,37,366,17,1,1,0.913349,0.1429,0.142857,1,0.997658,Wesleyan University,Data Science,13,0.433333333,18,0.6
A2023,864,343,396,100,8,1,0.603009,0.5417,0.541667,1,0.990741,University of Auckland,Wireless and Sensor Systems,22,0.733333333,26,0.866666667
A2024,32,6,2,19,1,1,0.8125,1,0.9375,0.875,0.96875,Tel Aviv University,Security and Privacy,2,0.066666667,0,0
A2025,593,262,173,40,46,1,0.558179,0.7083,0.708263,0.8786,0.922428,"University of California, Berkeley  ",Natural Language Processing,15,0.5,15,0.5
A2026,457,265,61,94,27,0.4201,0.420131,1,0.866521,1,0.940919,Washington University in St. Louis,Natural Language Processing,12,0.4,13,0.433333333
A2027,930,765,46,77,5,0.1774,0.177419,1,0.950538,1,0.994624,University of Rochester,Computational & Synthetic Biology,26,0.866666667,27,0.9
A2028,572,553,15,1,2,0.0332,0.033217,1,0.973776,1,0.996503,University of Massachusetts Amhers ,Theory of Computation,18,0.6,21,0.7
A2029,708,559,125,18,5,0.2105,0.210452,1,0.823446,1,0.992938,"University of California, Riverside",Natural Language Processing,16,0.533333333,17,0.566666667
A203,836,585,93,41,101,0.3002,0.300239,1,0.888756,1,0.879187,"University of California, Irvine ",Data Science,21,0.7,23,0.766666667
A2030,541,431,76,6,13,0.2033,0.203327,1,0.859519,1,0.97597,University of Washington,Wireless and Sensor Systems,16,0.533333333,19,0.633333333
A2031,656,539,39,53,1,0.1784,0.178354,1,0.940549,1,0.998476," University of California, Berkeley",Artificial Intelligence,22,0.733333333,23,0.766666667
A2032,353,279,21,13,36,0.2096,0.209632,1,0.94051,1,0.898017,"University of California, San Diego",Computing for Development,9,0.3,1,0.033333333
A2033,95,34,58,2,0,1,0.642105,0.3895,0.389474,1,1,Northwestern University,Computing for Development,7,0.233333333,2,0.066666667
A2034,163,115,6,30,5,0.2945,0.294479,1,0.96319,1,0.969325,Oregon State University,Machine Learning,7,0.233333333,5,0.166666667
A2035,351,215,70,31,26,0.3875,0.387464,1,0.80057,1,0.925926,University of Pittsburgh  ,Ubiquitous Computing,14,0.466666667,16,0.533333333
A2036,845,804,37,1,1,0.0485,0.048521,1,0.956213,1,0.998817,Massachusetts Institute of Technology ,Machine Learning,28,0.933333333,28,0.933333333
A2037,869,437,398,32,1,0.4971,0.497123,0.542,0.542002,1,0.998849,University of Auckland,Human Computer Interaction,19,0.633333333,24,0.8
A2038,692,364,118,194,8,0.474,0.473988,1,0.82948,1,0.988439,"University of California, Berkeley",Ubiquitous Computing,23,0.766666667,24,0.8
A2039,275,210,43,17,4,0.2364,0.236364,1,0.843636,1,0.985455,Washington University in St. Louis,Data Management and Visualization,11,0.366666667,12,0.4
A204,149,142,5,1,0,0.047,0.04698,1,0.966443,1,1,Boston University Graduate School,Computer Architecture,11,0.366666667,11,0.366666667
A2040,386,201,17,155,3,0.4793,0.479275,1,0.955959,1,0.992228,Stanford University,Molecular Information Systems,14,0.466666667,18,0.6
A2041,872,279,158,84,306,1,0.680046,1,0.818807,1,0.649083,"University of California, Berkeley",Computing for Development,27,0.9,27,0.9
A2042,751,323,114,248,46,1,0.569907,1,0.848202,1,0.938748,Massachusetts Institute of Technology ,Artificial Intelligence,26,0.866666667,26,0.866666667
A2043,386,248,99,15,7,0.3575,0.357513,1,0.743523,1,0.981865,Pontificia Universidad Catlica de Chile,Data Science,11,0.366666667,15,0.5
A2044,270,141,47,61,5,0.4778,0.477778,1,0.825926,1,0.981481,University of New Brunswick,Data Science,13,0.433333333,14,0.466666667
A2045,861,860,0,0,0,0.0012,0.001161,1,1,1,1,University Aix-Marseille,Data Management and Visualization,28,0.933333333,28,0.933333333
A2046,449,229,106,21,29,0.49,0.489978,0.7639,0.76392,0.8575,0.935412,University of Toronto,Computing for Development,10,0.333333333,2,0.066666667
A2047,658,73,221,156,23,1,0.889058,0.6641,0.664134,0.7188,0.965046,Oregon State University,Wireless and Sensor Systems,18,0.6,20,0.666666667
A2048,343,194,93,42,1,0.4344,0.434402,0.7289,0.728863,1,0.997085,Wesleyan University,Wireless and Sensor Systems,17,0.566666667,17,0.566666667
A2049,824,580,38,122,19,0.2961,0.296117,1,0.953883,0.9211,0.976942,Indiana University,Molecular Information Systems,19,0.633333333,27,0.9
A205,634,30,343,171,67,1,0.952681,0.459,0.458991,1,0.894322,Massachusetts Institute of Technology ,Artificial Intelligence,20,0.666666667,23,0.766666667
A2050,507,503,3,0,0,0.0079,0.00789,1,0.994083,1,1,Indiana University,"Computer Graphics, Vision, Animation, and Game Science",13,0.433333333,20,0.666666667
A2051,73,26,13,4,5,1,0.643836,1,0.821918,0.6575,0.931507,The University of Chicago,Molecular Information Systems,5,0.166666667,2,0.066666667
A2052,525,490,18,12,0,0.0667,0.066667,1,0.965714,1,1,Washington University in St. Louis  ,Computational & Synthetic Biology,14,0.466666667,18,0.6
A2053,435,392,12,1,24,0.0989,0.098851,1,0.972414,1,0.944828,Tel Aviv University,Machine Learning,17,0.566666667,19,0.633333333
A2054,696,586,80,19,7,0.158,0.158046,1,0.885057,1,0.989943,University Aix-Marseille,Data Science,18,0.6,22,0.733333333
A2055,521,143,20,277,64,1,0.725528,1,0.961612,1,0.877159,University of Oxford,Data Science,11,0.366666667,13,0.433333333
A2056,880,877,2,0,0,0.0034,0.003409,1,0.997727,1,1,"University of California, San Diego",Machine Learning,15,0.5,18,0.6
A2057,255,97,64,47,1,1,0.619608,0.749,0.74902,0.8196,0.996078,Tel Aviv University,Systems and Networking,7,0.233333333,3,0.1
A2058,978,902,19,48,3,0.0777,0.07771,1,0.980573,1,0.996933," University of California, Berkeley",Theory of Computation,17,0.566666667,22,0.733333333
A2059,180,42,9,116,10,1,0.766667,1,0.95,1,0.944444,The University of Chicago,Security and Privacy,8,0.266666667,0,0
A206,937,173,287,184,20,1,0.815368,0.6937,0.693703,0.7086,0.978655,Washington University in St. Louis,Human Computer Interaction,29,0.966666667,29,0.966666667
A2060,504,218,270,4,0,1,0.56746,0.4643,0.464286,1,1, The University of Chicago,Machine Learning,20,0.666666667,20,0.666666667
A2061,622,419,145,53,0,0.3264,0.326367,1,0.766881,1,1,University of Notre Dame,Theory of Computation,14,0.466666667,19,0.633333333
A2062,205,187,1,5,8,0.0878,0.087805,1,0.995122,1,0.960976," University of California, Berkeley",Security and Privacy,13,0.433333333,13,0.433333333
A2063,98,37,39,10,10,1,0.622449,0.602,0.602041,1,0.897959, The University of Chicago,Artificial Intelligence,8,0.266666667,3,0.1
A2064,830,104,72,275,239,1,0.874699,1,0.913253,0.8313,0.712048,University of Toronto,Ubiquitous Computing,21,0.7,25,0.833333333
A2065,100,3,66,1,23,1,0.97,0.34,0.34,0.93,0.77, The University of Chicago,Programming Languages and Software Engineering,8,0.266666667,0,0
A2066,960,389,133,42,191,1,0.594792,1,0.861458,0.7865,0.801042,University of Washington,Systems and Networking,15,0.5,22,0.733333333
A2067,845,171,587,65,2,1,0.797633,0.3053,0.305325,1,0.997633,University of Oxford,Wireless and Sensor Systems,22,0.733333333,28,0.933333333
A2068,860,376,87,110,114,1,0.562791,1,0.898837,0.7988,0.867442,Aarhus University,Programming Languages and Software Engineering,22,0.733333333,26,0.866666667
A2069,970,247,101,367,231,1,0.745361,1,0.895876,1,0.761856,Washington University in St. Louis,Systems and Networking,20,0.666666667,28,0.933333333
A207,42,10,25,2,1,1,0.761905,0.4048,0.404762,0.9048,0.97619,University of Rochester,Theory of Computation,3,0.1,0,0
A2070,693,596,64,22,10,0.14,0.139971,1,0.907648,1,0.98557,Boston University Graduate School,Machine Learning,15,0.5,24,0.8
A2071,41,14,16,4,2,1,0.658537,0.6098,0.609756,0.878,0.95122,"University of California, Berkeley  ",Security and Privacy,5,0.166666667,3,0.1
A2072,94,10,76,0,5,1,0.893617,0.1915,0.191489,1,0.946809,University Aix-Marseille,Security and Privacy,8,0.266666667,0,0
A2073,611,110,124,37,321,1,0.819967,1,0.797054,1,0.474632,Tel Aviv University,Programming Languages and Software Engineering,17,0.566666667,22,0.733333333
A2074,196,99,46,23,18,0.4949,0.494898,1,0.765306,1,0.908163,University of New Brunswick,Theory of Computation,10,0.333333333,6,0.2
A2075,363,253,89,7,4,0.303,0.30303,1,0.754821,1,0.988981,Washington University in St. Louis,Programming Languages and Software Engineering,15,0.5,15,0.5
A2076,768,263,427,48,3,1,0.657552,0.444,0.44401,1,0.996094,University of Georgia ,Machine Learning,16,0.533333333,18,0.6
A2077,521,127,266,93,33,1,0.756238,0.4894,0.489443,1,0.93666,University Aix-Marseille,Artificial Intelligence,18,0.6,18,0.6
A2078,186,12,60,82,7,1,0.935484,0.6774,0.677419,0.8656,0.962366,University of Massachusetts Amhers ,Natural Language Processing,8,0.266666667,6,0.2
A2079,459,270,100,67,16,0.4118,0.411765,1,0.782135,1,0.965142," University of California, Berkeley",Theory of Computation,20,0.666666667,20,0.666666667
A208,243,215,3,13,10,0.1152,0.115226,1,0.987654,1,0.958848,University of Iowa,Natural Language Processing,10,0.333333333,6,0.2
A2080,56,33,2,7,13,0.4107,0.410714,1,0.964286,1,0.767857,University of Toronto,Programming Languages and Software Engineering,5,0.166666667,4,0.133333333
A2081,999,451,116,174,69,1,0.548549,1,0.883884,0.8108,0.930931,The University of Chicago,Theory of Computation,19,0.633333333,21,0.7
A2082,786,561,12,121,59,0.2863,0.28626,1,0.984733,1,0.924936,Pontificia Universidad Catlica de Chile,Programming Languages and Software Engineering,17,0.566666667,20,0.666666667
A2083,489,124,39,50,168,1,0.746421,1,0.920245,0.7791,0.656442,University of Notre Dame,Ubiquitous Computing,12,0.4,20,0.666666667
A2084,283,216,38,7,9,0.2367,0.236749,1,0.865724,1,0.968198,Wesleyan University,"Computer Graphics, Vision, Animation, and Game Science",15,0.5,15,0.5
A2085,303,283,18,1,0,0.066,0.066007,1,0.940594,1,1,"University of California, San Diego","Computer Graphics, Vision, Animation, and Game Science",8,0.266666667,1,0.033333333
A2086,482,208,262,3,7,1,0.568465,0.4564,0.456432,1,0.985477,The George Washington University,Computer Architecture,16,0.533333333,16,0.533333333
A2087,784,578,127,51,24,0.2628,0.262755,1,0.83801,1,0.969388,"University of California, Berkeley  ",Programming Languages and Software Engineering,19,0.633333333,27,0.9
A2088,144,121,8,6,1,0.1597,0.159722,1,0.944444,1,0.993056,University of Washington,Data Management and Visualization,8,0.266666667,3,0.1
A2089,981,783,105,72,10,0.2018,0.201835,1,0.892966,1,0.989806,University of Arizona,"Computer Graphics, Vision, Animation, and Game Science",23,0.766666667,23,0.766666667
A209,911,752,84,39,30,0.1745,0.174533,1,0.907794,1,0.967069,University of Rochester,Computational & Synthetic Biology,25,0.833333333,27,0.9
A2090,213,189,9,7,2,0.1127,0.112676,1,0.957746,1,0.99061,University of Oxford,Programming Languages and Software Engineering,13,0.433333333,13,0.433333333
A2091,404,236,120,46,0,0.4158,0.415842,0.703,0.70297,1,1,Boston University Graduate School,"Computer Graphics, Vision, Animation, and Game Science",18,0.6,19,0.633333333
A2092,891,528,293,61,0,0.4074,0.407407,0.6712,0.671156,1,1,"University of California, San Diego",Theory of Computation,24,0.8,28,0.933333333
A2093,247,227,5,13,1,0.081,0.080972,1,0.979757,1,0.995951,The University of Chicago,Systems and Networking,11,0.366666667,13,0.433333333
A2094,661,278,227,14,79,1,0.579425,0.6566,0.656581,0.9047,0.880484,"University of California, Berkeley  ",Molecular Information Systems,15,0.5,23,0.766666667
A2095,761,438,167,35,35,0.4244,0.424442,1,0.780552,0.887,0.954008,Washington University in St. Louis,Natural Language Processing,22,0.733333333,24,0.8
A2096,401,189,11,18,161,1,0.528678,1,0.972569,1,0.598504,Rijksuniversiteit Groningen,Theory of Computation,18,0.6,18,0.6
A2097,145,111,2,11,9,0.2345,0.234483,1,0.986207,0.9172,0.937931,Massachusetts Institute of Technology ,Data Science,11,0.366666667,11,0.366666667
A2098,156,5,149,1,0,1,0.967949,0.0449,0.044872,1,1,"University of California, Los Angeles",Data Science,8,0.266666667,2,0.066666667
A2099,291,163,62,48,2,0.4399,0.439863,1,0.786942,1,0.993127,Boston University Graduate School,Computer Architecture,15,0.5,16,0.533333333
A21,725,660,47,7,2,0.0897,0.089655,1,0.935172,1,0.997241,Stanford University,Data Management and Visualization,13,0.433333333,21,0.7
A210,111,9,37,30,30,1,0.918919,0.6667,0.666667,1,0.72973,Washington University in St. Louis,Systems and Networking,8,0.266666667,6,0.2
A2100,393,151,31,78,35,1,0.615776,1,0.92112,0.7506,0.910941,"University of California, Los Angeles",Ubiquitous Computing,16,0.533333333,17,0.566666667
A2101,354,300,47,0,4,0.1525,0.152542,1,0.867232,1,0.988701,"University of California, Los Angeles",Artificial Intelligence,15,0.5,16,0.533333333
A2102,436,58,16,198,137,1,0.866972,1,0.963303,1,0.68578,University of Pittsburgh  ,Artificial Intelligence,19,0.633333333,19,0.633333333
